indonesian_original,indonesian,papua_kokas,is_augmented
apa pendapatmu tentang pentingnya inovasi dalam dunia pendidikan?,apa pendapatmu tentang pentingnya inovasi dalam dunia pendidikan?,o pendapat akape adi pentingnya inovasi ami dunia pendidikan nanam?,False
"selamat malam, semoga tidurmu nyenyak","Selamat malam, semoga kamu tidur dengan nyenyak.","salam misyag, semoga omurwa nyenyak",True
"selamat malam, semoga tidurmu nyenyak","selamat malam, semoga tidurmu nyenyak","salam misyag, semoga omurwa nyenyak",False
apa yang bisa kita lakukan untuk mendukung program konservasi air?,Apa yang dapat kita lakukan untuk mendukung program konservasi air?,kwai kusafa yang bisa tana buat ta dukung program konservasi wer,True
apa yang bisa kita lakukan untuk mendukung program konservasi air?,apa yang bisa kita lakukan untuk mendukung program konservasi air?,kwai kusafa yang bisa tana buat ta dukung program konservasi wer,False
bagaimana jika kita mengadakan pertemuan keluarga akhir pekan ini?,Bagaimana pendapatmu jika kita mengadakan pertemuan keluarga pada akhir pekan ini?,akape botanan pertemuan keluarga utaf uragawait ige,True
bagaimana jika kita mengadakan pertemuan keluarga akhir pekan ini?,bagaimana jika kita mengadakan pertemuan keluarga akhir pekan ini?,akape botanan pertemuan keluarga utaf uragawait ige,False
kamu punya rencana untuk pergi ke bioskop,Apakah kamu berencana pergi ke bioskop?,o rencana buat ati ami bioskop,True
kamu punya rencana untuk pergi ke bioskop,kamu punya rencana untuk pergi ke bioskop,o rencana buat ati ami bioskop,False
apa yang kamu pikirkan tentang pentingnya kebersihan pribadi,Apa pandanganmu tentang pentingnya kebersihan pribadi?,o fikir kusafa tentang pentingnya kebersihan ita isi nenas,True
apa yang kamu pikirkan tentang pentingnya kebersihan pribadi,apa yang kamu pikirkan tentang pentingnya kebersihan pribadi,o fikir kusafa tentang pentingnya kebersihan ita isi nenas,False
apa yang ingin kamu lakukan untuk merayakan ulang tahunmu,Apa yang ingin kamu lakukan dalam rangka merayakan ulang tahunmu?,omau mua kwai safa untuk merayakan o ulang tahun,True
apa yang ingin kamu lakukan untuk merayakan ulang tahunmu,apa yang ingin kamu lakukan untuk merayakan ulang tahunmu,omau mua kwai safa untuk merayakan o ulang tahun,False
bagaimana pandanganmu tentang pentingnya literasi kesehatan?,Bagaimana pendapat Anda mengenai signifikansi literasi kesehatan?,o pandangan akape adi pentingnya literasi kesehatan?,True
bagaimana pandanganmu tentang pentingnya literasi kesehatan?,bagaimana pandanganmu tentang pentingnya literasi kesehatan?,o pandangan akape adi pentingnya literasi kesehatan?,False
apakah kamu pernah mengunjungi tempat wisata ini sebelumnya,Pernahkah Anda datang ke destinasi wisata ini sebelumnya?,o pernah miti ami tompat wisata ige,True
apakah kamu pernah mengunjungi tempat wisata ini sebelumnya,apakah kamu pernah mengunjungi tempat wisata ini sebelumnya,o pernah miti ami tompat wisata ige,False
saya akan mengambil makanan di restoran favorit saya,Saya berencana untuk membeli makanan di restoran kesukaan saya.,emau eguain kumnamin ami e restoran favorit,True
saya akan mengambil makanan di restoran favorit saya,saya akan mengambil makanan di restoran favorit saya,emau eguain kumnamin ami e restoran favorit,False
aku biasanya pergi berlibur ke pantai atau gunung.,Saya sering berwisata ke pantai atau pegunungan.,yai biasa eti libur ami pantai atau eti kemnasin,True
aku biasanya pergi berlibur ke pantai atau gunung.,aku biasanya pergi berlibur ke pantai atau gunung.,yai biasa eti libur ami pantai atau eti kemnasin,False
saya sedang mencari pekerjaan baru sekarang,Saat ini saya sedang mencari pekerjaan yang baru.,yai sedang asiawa pekerjaan beri-beri madige,True
saya sedang mencari pekerjaan baru sekarang,saya sedang mencari pekerjaan baru sekarang,yai sedang asiawa pekerjaan beri-beri madige,False
aku suka sekali dengan musik rock,Saya sangat menyukai musik rock.,yai suka musik rock,True
aku suka sekali dengan musik rock,aku suka sekali dengan musik rock,yai suka musik rock,False
apa yang harus dilakukan untuk meningkatkan makanan,Apa yang dapat dilakukan untuk memperbaiki kualitas makanan?,kusafa yang parlu tana buat ta tingkatkan kumnamin,True
apa yang harus dilakukan untuk meningkatkan makanan,apa yang harus dilakukan untuk meningkatkan makanan,kusafa yang parlu tana buat ta tingkatkan kumnamin,False
aku suka mengabadikan momen indah,Saya gemar mengabadikan momen-momen yang berkesan.,yai suka mengabadikan momen kues kues,True
aku suka mengabadikan momen indah,aku suka mengabadikan momen indah,yai suka mengabadikan momen kues kues,False
"iya, aku bisa bermain piano dan gitar","Ya, saya dapat memainkan piano dan gitar.","yo, yai bisa emnagin piano adi gitar",True
"iya, aku bisa bermain piano dan gitar","iya, aku bisa bermain piano dan gitar","yo, yai bisa emnagin piano adi gitar",False
keterlibatan aktif dalam kehidupan anak-anak mendukung perkembangan positif,Keikutsertaan aktif dalam kehidupan anak-anak mendorong perkembangan yang positif.,oterlibat aktif ami kapiropir sina hidup mendukung sina berkembang kues,True
keterlibatan aktif dalam kehidupan anak-anak mendukung perkembangan positif,keterlibatan aktif dalam kehidupan anak-anak mendukung perkembangan positif,oterlibat aktif ami kapiropir sina hidup mendukung sina berkembang kues,False
anak saya tertarik belajar bermain piano,Anak saya memiliki minat untuk belajar bermain piano.,e yanak sanang amnagin piano,True
anak saya tertarik belajar bermain piano,anak saya tertarik belajar bermain piano,e yanak sanang amnagin piano,False
. apa yang kamu ketahui tentang sejarah seni patung di indonesia?,Apa yang Anda ketahui mengenai sejarah seni patung di Indonesia?,o bare kusafa adi sejarah seni patung ami indonesia,True
. apa yang kamu ketahui tentang sejarah seni patung di indonesia?,. apa yang kamu ketahui tentang sejarah seni patung di indonesia?,o bare kusafa adi sejarah seni patung ami indonesia,False
tolong jangan bicara begitu,Mohon jangan berbicara seperti itu.,tolong bonis farokwai akamika,True
tolong jangan bicara begitu,tolong jangan bicara begitu,tolong bonis farokwai akamika,False
bisakah kamu memberi saya sedikit waktu untuk berpikir,Bisakah Anda memberikan saya sedikit waktu untuk berpikir?,obisa fi yai waktu kurukisa buat efikir,True
bisakah kamu memberi saya sedikit waktu untuk berpikir,bisakah kamu memberi saya sedikit waktu untuk berpikir,obisa fi yai waktu kurukisa buat efikir,False
apa yang harus dilakukan untuk meningkatkan persahabatan,Apa yang dapat dilakukan untuk mempererat persahabatan?,kwai kusafa yang parlu tana buat ta tingkatkan ita persahabatan,True
apa yang harus dilakukan untuk meningkatkan persahabatan,apa yang harus dilakukan untuk meningkatkan persahabatan,kwai kusafa yang parlu tana buat ta tingkatkan ita persahabatan,False
bagaimana pendapatmu tentang teknologi blockchain,Bagaimana pandangan Anda tentang teknologi blockchain?,o pendapat akape adi teknologi blockchain,True
bagaimana pendapatmu tentang teknologi blockchain,bagaimana pendapatmu tentang teknologi blockchain,o pendapat akape adi teknologi blockchain,False
bisakah kamu memberi saya rekomendasi restoran seafood,Bisakah Anda memberikan rekomendasi restoran seafood?,obisa fi yai rekomendasi restoran sea food,True
bisakah kamu memberi saya rekomendasi restoran seafood,bisakah kamu memberi saya rekomendasi restoran seafood,obisa fi yai rekomendasi restoran sea food,False
. bagaimana pandanganmu tentang teknologi di indonesia?,Bagaimana pendapat Anda mengenai perkembangan teknologi di Indonesia?,o pandangan akape adi teknologi ami indonesia,True
. bagaimana pandanganmu tentang teknologi di indonesia?,. bagaimana pandanganmu tentang teknologi di indonesia?,o pandangan akape adi teknologi ami indonesia,False
apakah kamu sudah mencoba restoran baru di sekitar sini,Sudahkah Anda mencoba restoran baru di sekitar sini?,omi coba kaf tompat aunkwai ami sekitar ige,True
apakah kamu sudah mencoba restoran baru di sekitar sini,apakah kamu sudah mencoba restoran baru di sekitar sini,omi coba kaf tompat aunkwai ami sekitar ige,False
apa yang bisa kita lakukan untuk menjaga lingkungan?,Apa yang dapat kita lakukan untuk melestarikan lingkungan?,kwai kusafa yang bisa tana buat menjaga lingkungan?,True
apa yang bisa kita lakukan untuk menjaga lingkungan?,apa yang bisa kita lakukan untuk menjaga lingkungan?,kwai kusafa yang bisa tana buat menjaga lingkungan?,False
apa pendapatmu tentang lingkungan hidup?,Apa pandangan Anda mengenai lingkungan hidup?,o pendapat akape adi lingkungan hidup?,True
apa pendapatmu tentang lingkungan hidup?,apa pendapatmu tentang lingkungan hidup?,o pendapat akape adi lingkungan hidup?,False
bagaimana cara membuat sop ayam yang lezat,Bagaimana resep untuk membuat sop ayam yang enak?,akape tana sop kokok yang minak,True
bagaimana cara membuat sop ayam yang lezat,bagaimana cara membuat sop ayam yang lezat,akape tana sop kokok yang minak,False
bagaimana pandanganmu tentang pentingnya literasi media di era informasi?,Bagaimana pendapat Anda tentang signifikansi literasi media di zaman informasi?,o pandangan akape adi pentingnya literasi media ami era informasi?,True
bagaimana pandanganmu tentang pentingnya literasi media di era informasi?,bagaimana pandanganmu tentang pentingnya literasi media di era informasi?,o pandangan akape adi pentingnya literasi media ami era informasi?,False
bagaimana cara kita bisa meningkatkan literasi di kalangan anak-anak,Bagaimana upaya untuk meningkatkan literasi di antara anak-anak?,ita cara akape bo bisa meningkatkan literasi ami kalangan kapiropir,True
bagaimana cara kita bisa meningkatkan literasi di kalangan anak-anak,bagaimana cara kita bisa meningkatkan literasi di kalangan anak-anak,ita cara akape bo bisa meningkatkan literasi ami kalangan kapiropir,False
tolong jangan ganggu saya,Mohon jangan mengganggu saya.,tolong bonis ganggu yai,True
tolong jangan ganggu saya,tolong jangan ganggu saya,tolong bonis ganggu yai,False
kamu suka berkuda?,Apakah Anda gemar berkuda?,o suka berkuda,True
kamu suka berkuda?,kamu suka berkuda?,o suka berkuda,False
bagaimana cara kita bisa mendukung program pemberdayaan perempuan di sektor teknologi,Bagaimana upaya untuk mendukung program pemberdayaan perempuan di bidang teknologi?,akape ita cara bisa ta dukung program tana berdaya batbata ami sektor teknologi,True
bagaimana cara kita bisa mendukung program pemberdayaan perempuan di sektor teknologi,bagaimana cara kita bisa mendukung program pemberdayaan perempuan di sektor teknologi,akape ita cara bisa ta dukung program tana berdaya batbata ami sektor teknologi,False
apa yang kamu suka tentang musik,Apa yang Anda sukai dari musik?,kwai kusafa yang o suka adi musik,True
apa yang kamu suka tentang musik,apa yang kamu suka tentang musik,kwai kusafa yang o suka adi musik,False
kamu suka olahraga apa?,Olahraga apa yang Anda gemari?,o suka olahraga kusafa,True
kamu suka olahraga apa?,kamu suka olahraga apa?,o suka olahraga kusafa,False
"maaf, saya tidak bisa datang ke rapat karena ada panggilan penting","Maaf, saya tidak dapat hadir dalam rapat karena ada urusan mendesak.","maaf, yai aerata ema ami rapat sina anar yai karena penting",True
"maaf, saya tidak bisa datang ke rapat karena ada panggilan penting","maaf, saya tidak bisa datang ke rapat karena ada panggilan penting","maaf, yai aerata ema ami rapat sina anar yai karena penting",False
"menurutmu, apa saja langkah yang bisa diambil untuk mengurangi dampak bencana alam?","Menurut Anda, langkah apa saja yang dapat dilakukan untuk meminimalkan dampak bencana alam?",menurut o kusafa watan langkah yang bsia tana buat ta kasi kurang dampak akan kurang kues,True
"menurutmu, apa saja langkah yang bisa diambil untuk mengurangi dampak bencana alam?","menurutmu, apa saja langkah yang bisa diambil untuk mengurangi dampak bencana alam?",menurut o kusafa watan langkah yang bsia tana buat ta kasi kurang dampak akan kurang kues,False
apa yang bisa kita lakukan untuk mendukung program kesehatan mental,Apa yang dapat kita lakukan untuk mendukung program kesehatan mental?,ita bisa tana kusafa buat mendukung program kesehatan mental,True
apa yang bisa kita lakukan untuk mendukung program kesehatan mental,apa yang bisa kita lakukan untuk mendukung program kesehatan mental,ita bisa tana kusafa buat mendukung program kesehatan mental,False
bagaimana cara kita bisa meningkatkan kesadaran akan pentingnya hak-hak anak di sekolah?,Bagaimana cara meningkatkan kesadaran akan pentingnya hak-hak anak di sekolah?,akape ita cara bisa ta tingkatkan kesadaran akan pentingnya kapropir sina hak-hak ami sakolah,True
bagaimana cara kita bisa meningkatkan kesadaran akan pentingnya hak-hak anak di sekolah?,bagaimana cara kita bisa meningkatkan kesadaran akan pentingnya hak-hak anak di sekolah?,akape ita cara bisa ta tingkatkan kesadaran akan pentingnya kapropir sina hak-hak ami sakolah,False
ceritakan tentang pengalamanmu mengikuti kegiatan sosial,Ceritakan pengalaman Anda saat mengikuti kegiatan sosial.,mi carita tentang o pengalaman mosir kegiatan sosial,True
ceritakan tentang pengalamanmu mengikuti kegiatan sosial,ceritakan tentang pengalamanmu mengikuti kegiatan sosial,mi carita tentang o pengalaman mosir kegiatan sosial,False
saya ingin membaca lebih banyak buku tahun ini,Saya berencana membaca lebih banyak buku tahun ini.,yai emau ebaca lebih yani buku tahun ige,True
saya ingin membaca lebih banyak buku tahun ini,saya ingin membaca lebih banyak buku tahun ini,yai emau ebaca lebih yani buku tahun ige,False
bagaimana pandanganmu tentang pentingnya tidur yang cukup bagi kesehatan,Bagaimana pandangan Anda tentang pentingnya tidur yang cukup bagi kesehatan?,o pandangan akape adi pentingnya tarwa yang cukup buat ita kesehatan,True
bagaimana pandanganmu tentang pentingnya tidur yang cukup bagi kesehatan,bagaimana pandanganmu tentang pentingnya tidur yang cukup bagi kesehatan,o pandangan akape adi pentingnya tarwa yang cukup buat ita kesehatan,False
apa pendapatmu tentang rumah tangga saat ini,Apa pendapat Anda mengenai rumah tangga masa kini?,o pendapat akape adi rumah tangga saat ige,True
apa pendapatmu tentang rumah tangga saat ini,apa pendapatmu tentang rumah tangga saat ini,o pendapat akape adi rumah tangga saat ige,False
bagaimana pendapatmu tentang perkembangan literasi di indonesia?,Bagaimana pandangan Anda tentang perkembangan literasi di Indonesia?,o pendapat akape tentang perkembangan literasi ami indonesia?,True
bagaimana pendapatmu tentang perkembangan literasi di indonesia?,bagaimana pendapatmu tentang perkembangan literasi di indonesia?,o pendapat akape tentang perkembangan literasi ami indonesia?,False
bagaimana caramu menjaga kebersihan di lingkungan sekitar?,Bagaimana cara Anda menjaga kebersihan di lingkungan sekitar?,o cara akape mijaga kebersihan ami lingkungan sekitar,True
bagaimana caramu menjaga kebersihan di lingkungan sekitar?,bagaimana caramu menjaga kebersihan di lingkungan sekitar?,o cara akape mijaga kebersihan ami lingkungan sekitar,False
apa pendapatmu tentang pembangunan bagaimana pengalamanmu dengan pembangunan,"Apa pendapat Anda tentang pembangunan, dan bagaimana pengalaman Anda terkait pembangunan?",o pendapat akape adi pembangungan o pengalaman akape adi pembangunan,True
apa pendapatmu tentang pembangunan bagaimana pengalamanmu dengan pembangunan,apa pendapatmu tentang pembangunan bagaimana pengalamanmu dengan pembangunan,o pendapat akape adi pembangungan o pengalaman akape adi pembangunan,False
apa pendapatmu tentang musik saat ini,Bagaimana pandanganmu mengenai musik masa kini?,o pendapat akape adi musik saat ige,True
apa pendapatmu tentang musik saat ini,apa pendapatmu tentang musik saat ini,o pendapat akape adi musik saat ige,False
"menurutmu, apa saja langkah yang bisa diambil untuk mengurangi polusi plastik di laut","Menurutmu, upaya apa yang dapat dilakukan guna menekan polusi plastik di lautan?",menurut o kusafa watan langkah yang bisa ta gunain buat ta kurangi polusi plastik ami satik nanam,True
"menurutmu, apa saja langkah yang bisa diambil untuk mengurangi polusi plastik di laut","menurutmu, apa saja langkah yang bisa diambil untuk mengurangi polusi plastik di laut",menurut o kusafa watan langkah yang bisa ta gunain buat ta kurangi polusi plastik ami satik nanam,False
bagaimana pandanganmu tentang perkembangan pariwisata berkelanjutan di indonesia?,Bagaimana pendapatmu mengenai kemajuan pariwisata berkelanjutan di Indonesia?,o pandangan akape adi perkembangan pariwisata berkelanjutan ami indonesia.,True
bagaimana pandanganmu tentang perkembangan pariwisata berkelanjutan di indonesia?,bagaimana pandanganmu tentang perkembangan pariwisata berkelanjutan di indonesia?,o pandangan akape adi perkembangan pariwisata berkelanjutan ami indonesia.,False
"menurutmu, apa saja langkah yang bisa diambil untuk mengurangi ketimpangan sosial","Menurutmu, langkah-langkah apa yang bisa diambil guna mengurangi kesenjangan sosial?",menurut o kusafa watan langkah yang bisa tana buat ta kurangi ketimpangan sosial,True
"menurutmu, apa saja langkah yang bisa diambil untuk mengurangi ketimpangan sosial","menurutmu, apa saja langkah yang bisa diambil untuk mengurangi ketimpangan sosial",menurut o kusafa watan langkah yang bisa tana buat ta kurangi ketimpangan sosial,False
aku suka sekali memancing di danau saat akhir pekan.,Aku sangat gemar memancing di danau pada akhir pekan.,"yai suka paskali, afedik yafan ami danau saat akhir pekan",True
aku suka sekali memancing di danau saat akhir pekan.,aku suka sekali memancing di danau saat akhir pekan.,"yai suka paskali, afedik yafan ami danau saat akhir pekan",False
peran humor dalam keluarga untuk menciptakan suasana yang ceria,Peranan humor dalam keluarga untuk menciptakan suasana yang gembira,peran humor ami keluarga buat acipta suasana kues,True
peran humor dalam keluarga untuk menciptakan suasana yang ceria,peran humor dalam keluarga untuk menciptakan suasana yang ceria,peran humor ami keluarga buat acipta suasana kues,False
"maaf, saya tidak mengerti","Maaf, saya kurang paham.","maaf, yai mengerti ta",True
"maaf, saya tidak mengerti","maaf, saya tidak mengerti","maaf, yai mengerti ta",False
apa inovasi terbaru dalam ekonomi,Apa saja inovasi terkini dalam bidang ekonomi?,kusafa watan inovasi beri-beri ami ekonomi nanam,True
apa inovasi terbaru dalam ekonomi,apa inovasi terbaru dalam ekonomi,kusafa watan inovasi beri-beri ami ekonomi nanam,False
tolong beri tahu saya jika kamu sudah sampai di sana.,Tolong kabari saya bila kamu telah tiba di sana.,okasi kabar yai osampai amine,True
tolong beri tahu saya jika kamu sudah sampai di sana.,tolong beri tahu saya jika kamu sudah sampai di sana.,okasi kabar yai osampai amine,False
tolong beri saya rekomendasi tempat makan malam romantis,Bolehkah saya minta rekomendasi tempat makan malam yang romantis?,tolong ofi yai rekomendasi tompat anukwai misyag romantis,True
tolong beri saya rekomendasi tempat makan malam romantis,tolong beri saya rekomendasi tempat makan malam romantis,tolong ofi yai rekomendasi tompat anukwai misyag romantis,False
saya ingin memesan makanan untuk diantar ke rumah,Saya ingin memesan makanan untuk diantarkan ke rumah.,yai emau etno kumnamin buat afgait ati rumah,True
saya ingin memesan makanan untuk diantar ke rumah,saya ingin memesan makanan untuk diantar ke rumah,yai emau etno kumnamin buat afgait ati rumah,False
apa yang ingin kamu sampaikan dalam presentasimu nanti,Apa yang hendak kamu sampaikan dalam presentasi mendatang?,omau sampaikan kwai safa dalam o presentasi,True
apa yang ingin kamu sampaikan dalam presentasimu nanti,apa yang ingin kamu sampaikan dalam presentasimu nanti,omau sampaikan kwai safa dalam o presentasi,False
pentingnya evaluasi dan penilaian untuk memantau kemajuan siswa,Pentingnya evaluasi dan penilaian dalam memantau perkembangan siswa.,palu evaluasi adi penilaian buat tamiga perubahan kapiropir,True
pentingnya evaluasi dan penilaian untuk memantau kemajuan siswa,pentingnya evaluasi dan penilaian untuk memantau kemajuan siswa,palu evaluasi adi penilaian buat tamiga perubahan kapiropir,False
program mentoring membantu siswa menghadapi tantangan akademis,Program bimbingan membantu siswa mengatasi tantangan akademik.,program mentoring abantu kapiropir sina tarhadap alawan akademis,True
program mentoring membantu siswa menghadapi tantangan akademis,program mentoring membantu siswa menghadapi tantangan akademis,program mentoring abantu kapiropir sina tarhadap alawan akademis,False
saya ingin memesan meja untuk dua orang,Saya ingin memesan meja untuk dua orang.,yai emau etno meja buat mincia nua,True
saya ingin memesan meja untuk dua orang,saya ingin memesan meja untuk dua orang,yai emau etno meja buat mincia nua,False
apa pendapatmu tentang film bagaimana pengalamanmu dengan film,Bagaimana pendapatmu tentang film? Bagaimana pengalamanmu dengan film?,o pendapat akape adi film o pengalaman akape adi film,True
apa pendapatmu tentang film bagaimana pengalamanmu dengan film,apa pendapatmu tentang film bagaimana pengalamanmu dengan film,o pendapat akape adi film o pengalaman akape adi film,False
bagaimana jika kita pergi berjalan-jalan di taman malam ini,Bagaimana kalau kita pergi jalan-jalan di taman malam ini?,akape kalo tati tapanpana ami taman misyag ige,True
bagaimana jika kita pergi berjalan-jalan di taman malam ini,bagaimana jika kita pergi berjalan-jalan di taman malam ini,akape kalo tati tapanpana ami taman misyag ige,False
apa yang membuatmu tertarik dengan seni fotografi,Apa yang membuatmu tertarik pada seni fotografi?,kwai kusafa yang ana o tertarik adi seni fotografi,True
apa yang membuatmu tertarik dengan seni fotografi,apa yang membuatmu tertarik dengan seni fotografi,kwai kusafa yang ana o tertarik adi seni fotografi,False
ceritakan pengalamanmu saat berlibur di bali.,Ceritakan pengalamanmu ketika berlibur di Bali.,caritakan o pengalaman saat o mi liburan bali?,True
ceritakan pengalamanmu saat berlibur di bali.,ceritakan pengalamanmu saat berlibur di bali.,caritakan o pengalaman saat o mi liburan bali?,False
saya suka sekali dengan cuaca yang sejuk,Saya sangat menyukai cuaca yang sejuk.,yai suka paskali adi cuaca sejuk,True
saya suka sekali dengan cuaca yang sejuk,saya suka sekali dengan cuaca yang sejuk,yai suka paskali adi cuaca sejuk,False
apa pendapatmu tentang perkembangan teknologi,Bagaimana pandanganmu mengenai kemajuan teknologi,o pendapat akape adi perkembangan teknologi,True
apa pendapatmu tentang perkembangan teknologi,apa pendapatmu tentang perkembangan teknologi,o pendapat akape adi perkembangan teknologi,False
"menurutmu, apa saja langkah yang bisa diambil untuk mengurangi penggunaan bahan bakar fosil","Menurut pendapatmu, upaya apa saja yang dapat dilakukan untuk menekan pemakaian bahan bakar fosil",menurut o kusafa watan yang bisa tana buat ta kurangi bahan bakar fosil yang ita karagatuni tapaki,True
"menurutmu, apa saja langkah yang bisa diambil untuk mengurangi penggunaan bahan bakar fosil","menurutmu, apa saja langkah yang bisa diambil untuk mengurangi penggunaan bahan bakar fosil",menurut o kusafa watan yang bisa tana buat ta kurangi bahan bakar fosil yang ita karagatuni tapaki,False
bagaimana cara kamu menjaga kesehatan mental,Bagaimana upayamu dalam menjaga kesehatan mental,akape cara o mijaga kesehatan mental,True
bagaimana cara kamu menjaga kesehatan mental,bagaimana cara kamu menjaga kesehatan mental,akape cara o mijaga kesehatan mental,False
"tolong antarkan saya ke klinik terdekat, saya sedang tidak enak badan",Saya perlu diantar ke klinik terdekat karena kondisi badan sedang tidak fit,"tolong ma antar yai ati klinik karagragar, e isinasin kaurang kues",True
"tolong antarkan saya ke klinik terdekat, saya sedang tidak enak badan","tolong antarkan saya ke klinik terdekat, saya sedang tidak enak badan","tolong ma antar yai ati klinik karagragar, e isinasin kaurang kues",False
tolong jangan lupa untuk mengambil obatmu,Mohon jangan lupa untuk meminum obatmu,tolong bonis sogarar amdugaf mugwain o morin,True
tolong jangan lupa untuk mengambil obatmu,tolong jangan lupa untuk mengambil obatmu,tolong bonis sogarar amdugaf mugwain o morin,False
tolong beri tahu saya cara menggunakan transportasi umum di kota ini,Bisakah kamu menginformasikan cara menggunakan transportasi umum di kota ini,tolong farok ati yai cara ta gunakan angkutan umum ami urag ige,True
tolong beri tahu saya cara menggunakan transportasi umum di kota ini,tolong beri tahu saya cara menggunakan transportasi umum di kota ini,tolong farok ati yai cara ta gunakan angkutan umum ami urag ige,False
"iya, aku sering bermain catur dengan teman-temanku.","Betul, saya kerap bermain catur bersama teman-teman.","yo, yai sering amnagin catur adi e teman-teman sina",True
"iya, aku sering bermain catur dengan teman-temanku.","iya, aku sering bermain catur dengan teman-temanku.","yo, yai sering amnagin catur adi e teman-teman sina",False
"sangat kreatif dan ekspresif, banyak karya yang inspiratif.","Karya-karyanya sangat kreatif dan penuh ekspresi, banyak yang menginspirasi.","kreatif paskali adi ekspresif, karya yani yang inspiratif.",True
"sangat kreatif dan ekspresif, banyak karya yang inspiratif.","sangat kreatif dan ekspresif, banyak karya yang inspiratif.","kreatif paskali adi ekspresif, karya yani yang inspiratif.",False
apa yang kamu pikirkan tentang pentingnya menjaga keseimbangan antara kerja dan istirahat,Bagaimana pendapatmu mengenai urgensi menjaga keseimbangan antara pekerjaan dan waktu istirahat,kwai kusafa yang o pikir adi pentingnya ta jaga keseimbangan antara ita karja adi ta istrahat,True
apa yang kamu pikirkan tentang pentingnya menjaga keseimbangan antara kerja dan istirahat,apa yang kamu pikirkan tentang pentingnya menjaga keseimbangan antara kerja dan istirahat,kwai kusafa yang o pikir adi pentingnya ta jaga keseimbangan antara ita karja adi ta istrahat,False
implementasi pembelajaran berbasis proyek untuk menghubungkan teori dengan praktik,Penerapan pembelajaran berbasis proyek guna menjembatani teori dengan praktik,tana pembelajaran berbasis proyek buat ta hubungkan teori adi praktek,True
implementasi pembelajaran berbasis proyek untuk menghubungkan teori dengan praktik,implementasi pembelajaran berbasis proyek untuk menghubungkan teori dengan praktik,tana pembelajaran berbasis proyek buat ta hubungkan teori adi praktek,False
saya ingin berhenti menggunakanku media sosial,Saya berniat untuk berhenti menggunakan media sosial,yai emau baranti gunakan media sosial,True
saya ingin berhenti menggunakanku media sosial,saya ingin berhenti menggunakanku media sosial,yai emau baranti gunakan media sosial,False
apa pendapatmu tentang automotif saat ini,Bagaimana pandanganmu mengenai perkembangan otomotif saat ini,o pendapat akape akape adi automotif saat ige,True
apa pendapatmu tentang automotif saat ini,apa pendapatmu tentang automotif saat ini,o pendapat akape akape adi automotif saat ige,False
saya suka bermain game papan,Saya gemar bermain permainan papan,yai suka amnagin game kokoban,True
saya suka bermain game papan,saya suka bermain game papan,yai suka amnagin game kokoban,False
bagaimana pandanganmu tentang pentingnya literasi finansial di kalangan anak muda,Apa pandanganmu tentang pentingnya pemahaman keuangan di kalangan generasi muda,o pandangan akape adi pentingnya literasi pitis ami lingkungan kapropir muda,True
bagaimana pandanganmu tentang pentingnya literasi finansial di kalangan anak muda,bagaimana pandanganmu tentang pentingnya literasi finansial di kalangan anak muda,o pandangan akape adi pentingnya literasi pitis ami lingkungan kapropir muda,False
apa rencanamu untuk tahun depan,Apa rencana yang kamu susun untuk tahun depan,orencana kusafa ami garak utaf,True
apa rencanamu untuk tahun depan,apa rencanamu untuk tahun depan,orencana kusafa ami garak utaf,False
"menurutmu, apa saja langkah yang bisa diambil untuk mengurangi pencemaran air?","Menurutmu, langkah apa saja yang dapat diambil untuk menurunkan tingkat pencemaran air?",menurut o kusafa watan yang bisa tana buat ta kurangi wer kotor,True
"menurutmu, apa saja langkah yang bisa diambil untuk mengurangi pencemaran air?","menurutmu, apa saja langkah yang bisa diambil untuk mengurangi pencemaran air?",menurut o kusafa watan yang bisa tana buat ta kurangi wer kotor,False
bagaimana pandanganmu tentang pentingnya literasi budaya di kalangan anak-anak,Bagaimana pandanganmu mengenai pentingnya pemahaman budaya di kalangan anak-anak,o pendapat akape tentang pentingnya literasi budaya ami kalangan kapropir sina,True
bagaimana pandanganmu tentang pentingnya literasi budaya di kalangan anak-anak,bagaimana pandanganmu tentang pentingnya literasi budaya di kalangan anak-anak,o pendapat akape tentang pentingnya literasi budaya ami kalangan kapropir sina,False
"maaf, apakah saya bisa meminjam pulpenmu sebentar","Permisi, bolehkah saya meminjam pulpenmu sejenak","maaf, apakah yai bisa epinjam o pena barang kurukisa",True
"maaf, apakah saya bisa meminjam pulpenmu sebentar","maaf, apakah saya bisa meminjam pulpenmu sebentar","maaf, apakah yai bisa epinjam o pena barang kurukisa",False
saya ingin membeli sepeda baru bulan depan,Saya berencana membeli sepeda baru bulan depan,yai emau etoin sepeda beri-beri bunan utaf,True
saya ingin membeli sepeda baru bulan depan,saya ingin membeli sepeda baru bulan depan,yai emau etoin sepeda beri-beri bunan utaf,False
"maaf, bisakah saya minta bantuan","Maaf, bolehkah saya meminta bantuanmu","maaf, yai bisa efnigi bantuan",True
"maaf, bisakah saya minta bantuan","maaf, bisakah saya minta bantuan","maaf, yai bisa efnigi bantuan",False
. apa yang kamu ketahui tentang flora dan fauna di indonesia?,Apa pengetahuanmu mengenai flora dan fauna di Indonesia?,o bare kusafa adi flora adi fauna ami indonesia?,True
